"Program","xPONENT","","Intelliflex"
"Build","2.1.1015"
"Date","2025-05-07","12:07"



"SN","IFLEXS22334001"
"Batch","Mouse Metabolic 5-7-25"
"Version","1"
"Operator",""
"ComputerName","INTELLIFLEX-PC"
"Country Code","409"
"ProtocolName",""
"ProtocolVersion","N/A"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"PanelName","Mouse Metabolic MMHE-44K [v1]"
"MaxSampleUptakeVolume","50 ul"
"DDGate","8000 to 15000"
"SampleTimeout","50 sec"
"BatchStartTime","2025-05-07 11:33"
"BatchStopTime","2025-05-07 12:06"
"BatchDescription",""
"ProtocolPlate","Name","","Type","96","Plates","1"
"ProtocolMicrosphere","Map","","Type","","Count",""
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"
"ProtocolOperatingMode","xMAP INTELLIFLEX® High Sensitivity"
"BeadType","MagPlex"
"PrePlateRoutine",""
"PostPlateRoutine","Wash"
"PostWellRoutine",""
"PlateReadDirection","Vertical"


"Most Recent Calibration and Control Results:"
"Last Calibration","Calibrated 05/07/2025 10:49"
"Last Verification","Verified 05/07/2025 10:53"
"Last Fluidics Test","Verified 05/07/2025 10:55"

"CALInfo:"
"Classification Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1 Calibrated","CL1 Gain Final Volts","CL2 Calibrated","CL2 Gain Final Volts","CL3 Calibrated","CL3 Gain Final Volts","EDR Gain Calibrated","EDR Gain Final Volts","Lx200 RP1 High Gain Calibrated","Lx200 RP1 High Gain Final Volts","Lx200 RP1 Low Gain Calibrated","Lx200 RP1 Low Gain Final Volts","DDMag Calibrated","DDMag Gain Final Volts","DDMicro Calibrated","DDMicro Gain Final Volts","Standard RP1 Gain Calibrated","Standard RP1 Gain Final Volts"
"C07684","07/09/2026 00:00","05/07/2025 10:49","True","82.50","True","86.38","True","82.09","True","83.68","True","564.28","True","459.32","True","55.08","True","83.64","True","578.18"

"Samples","96","Min Events","","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","C-peptide","Ghrelin","GIP total","GLP-1 total","IL-6","Glucagon","Insulin","Leptin","MCP-1","Secretin","PP","PYY","Resistin","TNFa","Amylin","Total Events"
"50(1,B7)","Unknown16","45012.03125","3546.6748","72281.21094","17042.87109","3369.95386","16065.25879","78706.48438","250098.03125","2814.87305","6432.19629","12807.41797","13910.7959","392447.375","6776.16064","3938.91528","1006"
"51(1,C7)","Unknown17","46864.46484","3995.48242","49741.46484","15881.66895","3584.17212","32596.87305","48046.28906","243707.21875","3077.35303","7378.97412","11839.41895","18943.26172","419666.15625","10877.80176","3783.49438","1127"
"52(1,D7)","Unknown18","44535.35156","5228.84961","88113.39062","20294.23047","6231.22266","67526.57812","46107.96875","255114.98438","3246.6333","5782.55762","14250.66406","16909.73242","330169.9375","10319.87695","4269.2417","1051"
"53(1,E7)","Unknown19","26100.79688","6364.23535","53652.99219","11761.72266","3405.99268","43535.76562","23345.63672","198860.96875","2794.97363","6449.30811","10996.59766","15682.99707","403727.40625","4267.46191","3622.34106","1101"
"54(1,F7)","Unknown20","26059.64062","7817.73926","83681.03906","16685.34766","3456.9563","38932.01172","23983.07422","208835.67188","2951.72412","6564.41553","13206.95605","13211.80273","428707.59375","4264.20996","4328.23926","1075"
"55(1,G7)","Unknown21","142888.54688","3879.03833","24593.34961","13088.23145","3140.98242","11835.53711","276227.6875","267550.5625","3060.32715","5076.25244","10977.66992","7623.3418","369495.6875","6914.97021","4654.44873","1236"
"56(1,H7)","Unknown22","200070.60938","3745.18237","47296.66016","27577.41016","3060.75586","19641.125","518094.8125","273499.03125","3073.43604","6475.7832","13027.21875","12858.4248","443799.53125","5756.9834","9276.43262","1031"
"57(1,A8)","Unknown15","37099.75391","3220.47974","13980.97949","8934.96289","3045.61694","5312.1709","99062.89062","157917.20312","3189.96582","4561.70703","11448.87891","7024.91699","122614.28125","6134.64941","3946.34912","1091"
"58(1,B8)","Unknown16","48023.45312","3261.53638","73720.53906","19575.81641","3917.37915","14410.48145","70692.42969","352127.15625","3101.94849","6274.54541","13804.18066","13564.68066","437398.84375","8331.19824","3846.59473","1057"
"59(1,C8)","Unknown17","37751.19922","3912.01099","43085.70703","15257.69824","3846.80933","23411.49609","43467.85156","240520.67188","3449.57251","7976.0625","12359.23242","18531.0918","367061.96875","8511.72266","4487.83447","1069"
"60(1,D8)","Unknown18","59184.27734","6236.74805","97985.75","25444.51953","6182.45361","63379.38672","55773.51562","358065.71875","3156.63599","7316.03809","15478.98535","16213.01758","531022.4375","11134.03516","4684.76221","1120"
"61(1,E8)","Unknown19","22517.64062","5968.71387","45158.45703","11926.37793","3736.16211","35712.55078","17901.33203","126147.20312","3131.16138","6836.05908","10857.31641","15201.45898","186946.67188","4268.71973","3824.43677","1063"
"62(1,F8)","Unknown20","23708.25781","6653.44824","92875.25781","14525.10938","3152.13281","50403.07812","26266.99805","269854.8125","2845.62256","6185.62744","12487.14844","11116.80859","322890.375","4307.39648","3941.5813","1101"
"63(1,G8)","Unknown21","165475.75","3312.68579","28055.22266","13440.27344","3075.96631","11913.21191","331469.03125","255261.79688","2634.09912","5506.3833","11955.22656","8735.33984","336176.40625","7878.7168","4435.10547","1084"
"64(1,H8)","Unknown22","201074.42188","3030.31372","60388.09375","41342.90625","3367.68091","19893.61328","557374.5","226124.46875","2902.60474","5780.99268","12124.00684","13620.16797","438847.03125","6736.51221","10423.44043","1092"
"65(1,A9)","Unknown23","64284.97656","3867.68066","76083.53125","22390.22461","2756.23291","56117.65234","128165.85156","213793.9375","2848.89648","7336.79541","13917.13574","13253.2373","297767.84375","5802.07129","5175.12012","1208"
"66(1,B9)","Unknown24","25347.66602","9867.70898","28681.63867","19607.42969","2841.9917","33384.40625","34507.98828","185385.875","2818.28955","6744.15332","13415.69922","13713.15332","408807.3125","5964.26807","3956.82739","1090"
"67(1,C9)","Unknown25","26527.89062","4652.00439","64947.12891","9486.91992","3968.58545","29192.64648","34306.88281","295768.90625","2957.99976","5664.20557","11071.33496","12849.03223","300306.3125","8511.72266","4643.22705","1018"
"68(1,D9)","Unknown26","102186.28906","6790.42041","68081.07031","11468.53516","3498.8064","81879.16406","217589.40625","377372.84375","3173.82642","5939.8584","12779.7207","18737.66406","502503.09375","8737.09082","10241.32227","974"
"69(1,E9)","Unknown27","22037.39648","4369.46777","32450.49414","10909.41602","3247.91284","20272.31445","21498.25586","137128.35938","2938.30762","5512.67285","9398.60156","10871.62598","299387.15625","6892.29736","4751.31543","1111"
"70(1,F9)","Unknown28","44399.20312","12272.4082","44015.03906","11240.0791","3162.64014","22465.71094","64794.42969","164452.375","3084.87256","5168.39404","10537.59766","8800.08398","238687.96875","7120.36816","4282.67969","971"
"71(1,G9)","Unknown29","18152.91211","5895.3999","61948.44922","18590.7207","3483.86035","56668.92969","48957.46094","207064.78125","2843.34961","5263.82373","11110.1748","10453.59668","380769.3125","6789.05566","5585.36572","1215"
"72(1,H9)","Unknown30","17588.73242","4806.875","67911.34375","10774.10254","3992.27319","23949.03711","73640.73438","251984.34375","2988.34912","5265.41064","11097.06641","17838.20312","474619.625","8383.8418","4740.39355","1002"
"73(1,A10)","Unknown23","62258.45703","4427.73633","74034.10938","26393.08398","3230.10083","70300.20312","149074.21875","178109.4375","3476.44092","7817.03174","17275.56055","19760.2207","276607.9375","6259.62109","4935.85596","1034"
"74(1,B10)","Unknown24","27098.55273","8056.82471","33499.82812","19000.28516","2794.61621","56047.69922","38107.30078","122936.5","2600.17578","7280.65674","12660.65332","13488.02051","410157.34375","6700.58057","4474.81152","977"
"75(1,C10)","Unknown25","35693.13672","5004.23145","112584.65625","15889.78125","4053.75122","48716.47656","59298.76172","320046.9375","4207.98535","7122.35547","12812.30664","24177.96484","407467.3125","11727.25586","5387.23682","1145"
"76(1,D10)","Unknown26","126606.20312","5791.2998","85847.28125","13921.74609","3563.14331","93553.57031","235488.10938","372381.5625","3140.5249","6260.42139","12143.73438","19387.85156","450624.34375","8702.61035","16130.84668","1030"
"77(1,E10)","Unknown27","24697.04883","4361.01172","53587.90625","13945.93457","3257.06201","34958.15625","25871.22656","192877.84375","2643.64136","5468.47852","11003.85938","10586.14453","304053.28125","6394.07715","4557.68262","1120"
"78(1,F10)","Unknown28","41199.38281","8720.79395","50520.87109","13566.43164","3067.21753","26794.23047","77135.98438","130796.0625","2943.50415","5607.6167","11182.51074","10569.94824","280471.96875","6206.02002","4233.06738","1174"
