MICE_ID_RAR_INDIVIDUAL,STRAIN,ID,RACK,LOCATION,ROOM,DATE_OF_BIRTH,SEX,DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,BODY_WEIGHT_G,DATE,COMMENTS,NEW_FOOD_END_SESSION_G,IN_SABLE_RECORDING,DIET_FORMULA,LOT_FOOD,ANIMAL_VENDOR,STRAIN_CODE_VENDOR,BASAL_GLU_mg_dL,FASTED_GLU_mg_dL
,NZO/HlLtJ,71,,,,,F,CHOW,174.97,157.8,,11/14/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,49,,,,,F,CHOW,242.18,219.61,22.8,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,50,,,,,F,CHOW,195.4,177.89,22.4,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,51,,,,,F,CHOW,199.89,174,22.3,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,52,,,,,F,CHOW,248.95,225.73,21.1,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,53,,,,,F,CHOW,263.14,231.14,23.5,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,54,,,,,F,CHOW,249.9,232.44,23,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,55,,,,,F,CHOW,172.21,137.01,23.3,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,56,,,,,F,CHOW,208,192,23.3,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,57,,,,,F,CHOW,180.38,159.11,21.6,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,58,,,,,F,CHOW,216.12,196.11,21.8,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,59,,,,,F,CHOW,210.7,192.15,21.9,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,C57BL/6J,60,,,,,F,CHOW,188.49,172.82,22.5,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,61,,,,,F,CHOW,284.98,245.45,50.7,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,62,,,,,F,CHOW,263.09,232.46,50,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,63,,,,,F,CHOW,227.69,173.6,50.7,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,64,,,,,F,CHOW,287.31,251.39,49.1,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,65,,,,,F,CHOW,228.21,193.39,57.4,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,66,,,,,F,CHOW,251.62,214.4,61.9,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,67,,,,,F,CHOW,245.4,189.01,46.3,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
,NZO/HlLtJ,68,,,,,F,CHOW,210.59,175.49,51.8,11/18/22,,,,2918_teklad_Irradiated_Global_18%_Protein_Rodent_Diet,,,,,
