MICE_ID_RAR_INDIVIDUAL,ID_MICE,RACK,LOCATION,COHORT,DATE_OF_BIRTH,SEX,DIET,AGE_OLD_WEEKS,WEEK_WITH_FAT_DIET,FOOD_WEIGHT_START_G,FOOD_WEIGHT_END_G,DAILY_FOOD_INTAKE_G,DAILY_FOOD_INTAKE_KCAL,BODY_WEIGHT_G,DATE,AIM,COMMENTS,FAT,LEAN,FREE_WATER,TOTAL_WATER,TIME_DATE_DURA,NEW_FOOD_END_SESSION_G,RESEARCH_DIET_FORMULA,LOT_FOOD,COMMENT_TWO
B00002447873,7873,6A,N4,2,7/9/24,F,HFD,9.5,1.5,11.22,3.04,2.726666667,12.89713333,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.66,D12451i,24072303i,NA
B00002447874,7874,6A,H5,2,7/9/24,F,HFD,9.5,1.5,11.16,4.82,2.113333333,9.996066667,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.14,D12451i,24072303i,NA
B00002447875,7875,6A,G5,2,7/9/24,F,HFD,9.5,1.5,11.08,3.1,2.66,12.5818,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.57,D12451i,24072303i,NA
B00002447879,7879,6A,K5,2,7/9/24,F,HFD,9.5,1.5,13.37,6.55,2.273333333,10.75286667,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.57,D12451i,24072303i,NA
B00002447864,7864,6A,I9,2,7/9/24,M,HFD,9.5,1.5,11.36,3.78,2.526666667,11.95113333,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,14.28,D12451i,24072303i,NA
B00002447865,7865,6A,J9,2,7/9/24,M,HFD,9.5,1.5,18.6,6.04,4.186666667,19.80293333,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,22.6,D12451i,24072303i,NA
B00002447860,7860,6A,L5,2,7/9/24,M,HFD,9.5,1.5,13.22,5.96,2.42,11.4466,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.45,D12451i,24072303i,NA
B00002447861,7861,6A,M5,2,7/9/24,M,HFD,9.5,1.5,10.56,2.6,2.653333333,12.55026667,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,14.28,D12451i,24072303i,NA
B00002447866,7866,6A,K7,2,7/9/24,M,HFD,9.5,1.5,13.08,5.49,2.53,11.9669,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.63,D12451i,24072303i,NA
B00002447862,7862,6A,L7,2,7/9/24,M,HFD,9.5,1.5,11.61,1.86,3.25,15.3725,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,15.46,D12451i,24072303i,NA
B00002447867,7867,6A,H8,2,7/9/24,M,HFD,9.5,1.5,11.28,3.02,2.753333333,13.02326667,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,13.97,D12451i,24072303i,NA
B00002447863,7863,6A,I8,2,7/9/24,M,HFD,9.5,1.5,14.53,6.31,2.74,12.9602,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,15.51,D12451i,24072303i,NA
B00002447880,7880,6A,J8,2,7/9/24,F,LFD,9.5,1.5,17.58,8.42,3.053333333,11.66373333,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,16.27,D12450Ki,24080209i,NA
B00002447881,7881,6A,K7,2,7/9/24,F,LFD,9.5,1.5,14.95,8.17,2.26,8.6332,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,14.89,D12450Ki,24080209i,NA
B00002447882,7882,6A,L9,2,7/9/24,F,LFD,9.5,1.5,18.34,7.94,3.466666667,13.24266667,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,17.94,D12450Ki,24080209i,NA
B00002447883,7883,6A,M9,2,7/9/24,F,LFD,9.5,1.5,16.06,9.25,2.27,8.6714,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,14.37,D12450Ki,24080209i,NA
B00002447868,7868,6A,K8,2,7/9/24,M,LFD,9.5,1.5,17.51,6.16,3.783333333,14.45233333,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,18.6,D12450Ki,24080209i,NA
B00002447869,7869,6A,L8,2,7/9/24,M,LFD,9.5,1.5,17.4,5.67,3.91,14.9362,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,17.43,D12450Ki,24080209i,NA
B00002447870,7870,6A,M8,2,7/9/24,M,LFD,9.5,1.5,14.69,6.68,2.67,10.1994,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,15.11,D12450Ki,24080209i,NA
B00002447871,7871,6A,N9,2,7/9/24,M,LFD,9.5,1.5,14.7,6.25,2.816666667,10.75966667,NA,9/16/24,2B_EEGAP,FOOD_REPLACEMENT,NA,NA,NA,NA,NA,14.79,D12450Ki,24080209i,NA
B00002447876,7876,6A,L4,2,7/9/24,F,HFD,10,2,13.44,8.54,2.45,11.5885,17.3,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447872,7872,6A,M4,2,7/9/24,F,HFD,10,2,13.42,8.58,2.42,11.4466,18.16,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447877,7877,6A,N8,2,7/9/24,F,HFD,10,2,13.6,8.53,2.535,11.99055,19.65,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447878,7878,6A,H9,2,7/9/24,F,HFD,10,2,13.33,8.66,2.335,11.04455,18.23,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447873,7873,6A,N4,2,7/9/24,F,HFD,10,2,13.66,8.82,2.42,11.4466,18.76,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447874,7874,6A,H5,2,7/9/24,F,HFD,10,2,13.14,8.68,2.23,10.5479,17.82,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447875,7875,6A,G5,2,7/9/24,F,HFD,10,2,13.57,8.82,2.375,11.23375,18.75,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
B00002447879,7879,6A,K5,2,7/9/24,F,HFD,10,2,13.57,8.55,2.51,11.8723,18.3,9/18/24,2B_EEGAP,NA,NA,NA,NA,NA,NA,NA,D12451i,24072303i,NA
