ID,BW,DATE
7870,21.11,2024-09-18
7870,20.9,2024-09-25
7870,21.38,2024-10-02
7870,21.64,2024-10-09
7870,21.62,2024-10-16
7871,27.08,2024-09-03
7871,26.28,2024-09-11
7871,26.22,2024-09-18
7871,27.4,2024-09-25
7871,27.14,2024-10-02
7871,27.92,2024-10-09
7871,28.83,2024-10-16
7872,17.91,2024-09-03
7872,17.38,2024-09-11
7872,18.16,2024-09-18
7872,17.67,2024-09-25
7872,18.14,2024-10-02
7872,18.75,2024-10-09
7872,19.14,2024-10-16
7873,18.6,2024-09-03
7873,18.47,2024-09-11
7873,18.76,2024-09-18
7873,19.74,2024-09-25
7873,20.06,2024-10-02
7873,19.88,2024-10-09
7873,20.57,2024-10-16
7874,18.45,2024-09-03
7874,17.58,2024-09-11
7874,17.82,2024-09-18
7874,18.28,2024-09-25
7874,19.07,2024-10-02
7874,20.17,2024-10-09
7874,20.74,2024-10-16
7875,18.8,2024-09-03
7875,18.03,2024-09-11
7875,18.75,2024-09-18
7875,19.01,2024-09-25
7875,19.06,2024-10-02
7875,19.43,2024-10-09
7875,21.16,2024-10-16
7876,18.32,2024-09-03
7876,17.28,2024-09-11
7876,17.3,2024-09-18
7876,17.82,2024-09-25
7876,18.88,2024-10-02
7876,18.83,2024-10-09
7876,18.97,2024-10-16
7877,19.19,2024-09-03
7877,18.3,2024-09-11
7877,19.65,2024-09-18
7877,19.47,2024-09-25
7877,20.16,2024-10-02
7877,20.86,2024-10-09
7877,21.58,2024-10-16
7878,17.78,2024-09-03
7878,18.26,2024-09-11
7878,18.23,2024-09-18
7878,18.55,2024-09-25
7878,19.15,2024-10-02
7878,20.2,2024-10-09
7878,19.45,2024-10-16
7879,18.55,2024-09-03
7879,17.05,2024-09-11
7879,18.3,2024-09-18
7879,19.26,2024-09-25
7879,19.72,2024-10-02
7879,20.4,2024-10-09
7879,19.82,2024-10-16
7880,17.57,2024-09-03
7880,17.52,2024-09-11
7880,17.55,2024-09-18
7880,17.44,2024-09-25
7880,17.67,2024-10-02
7880,18.39,2024-10-09
7880,18.6,2024-10-16
7881,18.88,2024-09-03
7881,17.82,2024-09-11
7881,17.82,2024-09-18
7881,17.99,2024-09-25
7881,18.48,2024-10-02
7881,19.45,2024-10-09
7881,18.94,2024-10-16
7882,17.44,2024-09-03
7882,18.43,2024-09-11
7882,18.05,2024-09-18
7882,17.6,2024-09-25
7882,17.35,2024-10-02
7882,17.74,2024-10-09
7882,18.71,2024-10-16
7883,18.36,2024-09-03
7883,17.32,2024-09-11
7883,18.03,2024-09-18
7883,18.14,2024-09-25
7883,17.8,2024-10-02
7883,17.97,2024-10-09
7883,17.95,2024-10-16
